Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Patalogická fyziologie: Učebnice pro lékařské fakulty;Trávníček, T.;;Book;;14318;881497;KAT-0183 (881497);BC000014318-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fundamentals of Artificial Intelligence;Bibel, W. (ed.);;Book;;11391;890117;KAT-0184 (890117);BC000011391-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Přehled biologie;Rosypal, S.;;Book;;12835;890370;KAT-0185 (890370);BC000012835-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Expert System Technology: Development and Application;Keller R.;;Book;;10604;890425;KAT-0186 (890425);BC000010604-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Simulační modely;Hušek, R.;Lauber,L.;Book;;;890454;KAT-0187 (890454);BC000011430-000040;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Ekoimunologie;Wagner V.;Wagnerová M.;Book;;11786;890510;KAT-0188 (890510);BC000011786-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Informace ve fyzice a technických oborech;Silverio, Miroslav;;Book;;73253;890592;KAT-0189 (890592);BC000073253-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Expertní odhady;Křovák J.;E. Zamrazilová;Book;;73252;890628;KAT-0190 (890628);BC000073252-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Teorie statistiky pro řízení a plánování;Kaňoková J.;;Book;;73251;890657;KAT-0191 (890657);BC000073251-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Lexicon medicum;Kábrt, J.;;Book;;13585;890637;KAT-0192 (890637);BC000013585-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Úvod do biokybernetiky a teórie experimentu;Langer, P.;;Book;;12307;890679;KAT-0193 (890679);BC000012307-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Autogenní trénink;Vojáček K.;;Book;;11732;890700;KAT-0194 (890700);BC000011732-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Příručka spolehlivosti v radioelektronice a automatizační technice;;;Book;;9857;890733;KAT-0195 (890733);BC000009857-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Knowledge Representation and Organization in Machine Learning;Morik ,K. (ed.);;Book;;14293;890785;KAT-0196 (890785);BC000014293-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Environmental Decision Support Systems;Guariso G.;H. Werthener;Book;;14081;890872;KAT-0197 (890872);BC000014081-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Simulated Annealing and Boltzmann Machines;Aarts, E.;Korst, J.;Book;;13807;890873;KAT-0198 (890873);BC000013807-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Proceedings of the 1988 IEEE International Conference on Systems, Man and Cybernetics,volume 1;;;Book;;13023;891008;KAT-0199 (891008);BC000013023-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Proceedings of the 1988 IEEE International Conference on Systems, Man and Cybernetics,volume 2;;;Book;;12253;891009;KAT-0200 (891009);BC000012253-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
The Social Implications of Robotics and Advanced Industrila Automatin;Millin, D. (ed.);Raab, B. H.;Book;;12582;891010;KAT-0201 (891010);BC000012582-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computation Intelligence 1;Martelli, A. (ed.);Valle, G.;Book;;14225;891190;KAT-0202 (891190);BC000014225-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Systems with Learning and Memory Abilities;Delacour, J. (ed.);Levy, J.L.;Book;;12125;891192;KAT-0203 (891192);BC000012125-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Data and Knowledge: DS-2;Meersman, R. A. (ed.);Sernadas, A. C.;Book;;14267;891193;KAT-0204 (891193);BC000014267-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Ecology of Computation;Huberman, B. A. (ed.);;Book;;14209;891194;KAT-0205 (891194);BC000014209-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computers and Languages: Theory and Practice;Nijholt, A. (ed.);;Book;;12479;891195;KAT-0206 (891195);BC000012479-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Technická diagnostika;Janoušek I.;Kozák J., Taraba O.;Book;;72627;900248;KAT-0207 (900248);BC000013514-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Adaptivnaja obrabotka signalov;Widrow, B.;Stearns, S. D.;Book;;9927;900317;KAT-0208 (900317);BC000009927-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Faktornyj, diskriminantnyj i klasternyj analiz;;;Book;;11281;900350;KAT-0209 (900350);BC000011281-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Ekonomická semiostika a teorie informace;Bašta, A.;;Book;;13307;900409;KAT-0210 (900409);BC000013307-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Algoritmy a štruktury údajov (druhé vydání);Wirth N.;;Book;;94987;900417;KAT-0211 (900417);BC000009939-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Artificial Intelligence for Microcomputers;Williamson M.;;Book;;9930;900436;KAT-0212 (900436);BC000009930-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Identifikace a modelování;Eck,  Vladimír;;Book;;10022;905816;KAT-0213 (905816);BC000010022-000140;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Evolution and Optimization: An Introduction to Solving Complex Problems by Replicator Networks;Voigt H.- M.;;Book;;13124;900440;KAT-0214 (900440);BC000013124-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Künstliche Intelligenz und Automatisierungstechnik;Pötschke D.;Lunze J.;Book;;9919;900492;KAT-0215 (900492);BC000009918-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Informatika i teorija razvitija;Ajlamazjan, A.K.;Stas, E. V.;Book;;13832;900504;KAT-0216 (900504);BC000013832-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Prognóza základních směrů VTR v elektrotechnickém a elktronickém průmyslu: SIVO 2358;Růžička J.;;Book;;12863;900544;KAT-0217 (900544);BC000012863-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Nejrointellekt ot nejrona k nejrokompjuteru;Sokolov E. N.;Vajtkjavičjus G. G.;Book;;10359;900554;KAT-0218 (900554);BC000010359-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Dinamika ierarchičeskich system: Evoljucionnoje predstavlenije;Nicolis J. S.;;Book;;12475;900564;KAT-0219 (900564);BC000012475-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Expertní systémy;Popper M.;Kelemen J.;Book;;10163;900632;KAT-0220 (900632);BC000010163-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Úvod do matematiky v alternatívnej teórii množín;Vopěnka Petr;;Book;;13125;900633;KAT-0221 (900633);BC000013125-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Biometrija;Lakin, G. F.;;Book;;12299;900688;KAT-0222 (900688);BC000012299-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Teorija vozmošnostej;Dubois, D.;Prade, H.;Book;;74133;900694;KAT-0223 (900694);BC000012169-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Dateanalyse mit dem Personalcomputer;Fleischer, W.;Nagel, M.;Book;;74244;900740;KAT-0224 (900740);BC000011340-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Künstliche Intelligenz und Automatisierungstechnik;Pötschke D.;Lunze J.;Book;;9919;900650;KAT-0225 (900650);BC000009918-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Simulace dynamických systémů;Zítek, P.;;Book;;56374;900898;KAT-0226 (900898);BC000010837-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Age of Discontinuity;Drucker P. F.;;Book;;12205;900911;KAT-0227 (900911);BC000012205-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Elektromagnetická kompatibilita: Sborník přednášek;;;Book;;12256;901101;KAT-0228 (901101);BC000012256-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Iskusstvennyj intellekt: Spravočnik;;;Book;;11506;901210;KAT-0229 (901210);BC000011506-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Iskusstvennyj intellekt: Spravočnik;;;Book;;11507;901211;KAT-0230 (901211);BC000011507-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Iskusstvennyj intellekt: Spravočnik;;;Book;;11508;901212;KAT-0231 (901212);BC000011508-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Sistemologija: Avtomatizacija rešenija sistemnych zadač;Klir G. J.;;Book;;10653;901217;KAT-0232 (901217);BC000010653-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Softwarové inženýrství;Král, Jaroslav;Demner,Jiří;Book;;14461;920720;KAT-0233 (920720);BC000014461-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Starting LISP for AI;Coxhead, Peter;;Book;;14861;921472;KAT-0234 (921472);BC000014861-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Computer Strategies for Education: Foundations and Content-Area Applications;Kinzer Charles K. (ed.);Robert D. Sherwood, John D. Bransford;Book;;14865;921477;KAT-0235 (921477);BC000014865-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Decision Support and Expert Systems: Managerial Perspectives;Turban Efraim;;Book;;14850;921481;KAT-0236 (921481);BC000014850-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Dynamics of Excel, IBM PC Edition;Yu John W.;Catherine Demers;Book;;14869;921483;KAT-0237 (921483);BC000014869-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Statistics for the Engineering and Computer Sciences (druhé vydání);Mendenhall,  William;Sincich,Terry;Book;;14506;921503;KAT-0238 (921503);BC000014506-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Decision Support and Expert Systems: Managerial Perspectives;Turban Efraim;;Book;;14850;921504;KAT-0239 (921504);BC000014850-000030;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Essentials of Data Processing;Floyd Nancy A.;;Book;;14882;921505;KAT-0240 (921505);BC000014882-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Applied Linear Statistical Models: Regression, Analysis of Variance, and Experimen- tal Designs (druhé vydání);Neter John;William Wassermann, Michael H. Kutner;Book;;14883;921506;KAT-0241 (921506);BC000014883-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Statistics for Business and Economics;Van Matre Joseph G;Glenn H. Gilbreath;Book;;14884;921507;KAT-0242 (921507);BC000014884-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Megatrendy 2000: Desať nových smerov na devätdesiate roky;Naisbitt John;Patricia Aburdenová;Book;;14892;921525;KAT-0243 (921525);BC000014892-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Statistics: Solutions Manual;Shafer Nancy J.;;Book;;14885;921508;KAT-0244 (921508);BC000014885-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Biologické signály I: Geneze, zpracování a analýza;Svatoš, Josef;;Book;;14889;921607;KAT-0245 (921607);BC000014889-000070;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
WordPerfect: Příručka pro uživatele;Tichavský Jaromír;;Book;;96215;930869;KAT-0246 (930869);BC000015162-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Distribuované databázové systémy;Sokolovský Peter;Jaroslav Pokorný, Jiří Peterka;Book;;15500;930973;KAT-0247 (930973);BC000015500-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Qualitative Simulation: Modeling and Analysis;Fishiwick, P.A. (ed.);Luker, Paul A.;Book;;15309;931444;KAT-0248 (931444);BC000015309-000020;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Fyziólogia 2: Učebnica pre lekárske fakulty;Trojan, Stanislav;;Book;;15239;930890;KAT-0249 (930890);BC000015239-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Neural Network and Fuzzy Systems: A Dynamical Systems Approach to Machine Intelligence;Bart, Kosko;;Book;;15310;931452;KAT-0250 (931452);BC000015310-000010;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
