Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0394 (1484);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0395 (1485);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0396 (1486);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0397 (1487);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0398 (1488);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0399 (1489);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Developing Windows-Based Applications with Microsoft Visual Basic .NET and Microsoft C# .NET;;;Book;;;;KAT-0400 (1491);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Microsoft Access 2002 / Programování databázových aplikací;Barker, F. Scott;;Book;;291142;230787;KAT-0401 (1504);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Flash 5 pro Windows a Macintosh;Ulrich, Katherine;;Book;;;;KAT-0402 (1529);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Flash 5 dynamické a interaktivní efekty;Hartman, Patricia;;Book;;;;KAT-0403 (1530);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Macromedia Flash MX actionscript;Derek, Franklin;Jobe, Makar;Book;;;;KAT-0404 (1531);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Macromedia dreamweaver.mx;Page, Kristine Annwn;;Book;;;;KAT-0405 (1532);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Visual Basic.NET krok za krokem;Halvorson, Michael;;Book;;;;KAT-0406 (1534);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Myslíme v jazyku Visual Basic.NET 1.díl;Petroutsos, Evangelos;;Book;;;;KAT-0407 (1537);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Myslíme v jazyku Visual Basic.NET 2.díl;Petroutsos, Evangelos;;Book;;;;KAT-0408 (1538);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Macromedia Flash MX - oficiální výukový kurz;Rey, Chrissy;;Book;;;;KAT-0409 (1556);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
ASP.NET - Začínáme programovat;Písek, Slavoj;;Book;;;;KAT-0410 (1761);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Mistrovství v Microsoft Windows XP;Bott, Ed;Siechert, Carl;Book;;;;KAT-0411 (1763);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Kompletní průvodce operačním systémem Microsoft Windows XP;Norton, Peter;;Book;;;;KAT-0412 (1768);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Podrobné vydání Microsoft Office 2000 / Small Business Edition;Bott, Ed;Leonhard, Woody;Book;;;;KAT-0413 (1772);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
AI Game Programming Wisdom 2;Rabin, Steve;;Book;;651964;240855;KAT-0414 (1794);BC000651964-000010;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Vývoj her v jazyku Java (JAVA 1.4);Brackeen, D.;;Book;;;;KAT-0415 (1898);;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Pro Android 3 (ANDROID 3);Komatineni, Satya;;Book;;731008;111709;KAT-0416 (3529);3102025218;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
Beginning Android 2 (ANDROID 2);Murphy, Mark L.;;Book;;730212;111014;KAT-0417 (3483);3102024942;;;;;;;;;;;;7;;;;;;WriteOff;;;;OK;;
