Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Recognition of a Line of Text - 2.;Rathouský, Jan;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Recognition of a Line of Text - 1.;Rathouský, Jan;;diplomová / bakalářská práce;Katedra;670411;;;670411-10;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Přenos biologických dat pomocí moderních technologií - 2.;Černý, Jan;;diplomová / bakalářská práce;Katedra;;;;;82;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Přenos biologických dat pomocí moderních technologií - 1.;Černý, Jan;;diplomová / bakalářská práce;Katedra;;;;;82;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Psaní bez klávesnice - využívání alternativních ovládacích prvků - 2.;Pola, Marek;;diplomová / bakalářská práce;Katedra;;;;;34;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Psaní bez klávesnice - vyu?ívání alternativních ovládacích prvků - 1.;Pola, Marek;;diplomová / bakalářská práce;Katedra;672145;;;672145-10;34;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Prohledávání neznámého prostoru mobilním robotem II.;Novotný, Filip;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Prohledávání neznámého prostoru mobilním robotem I.;Kulich, F.;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Prohledávání neznámého prostoru mobilním robotem - 2.;Novotný, Filip;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Prohledávání neznámého prostoru mobilním robotem - 1.;Novotný, Filip;;diplomová / bakalářská práce;Katedra;672113;;;672113-10;42;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Predspracovanie dát pre data mining - hľadanie relácií v databázach - 2.;Bezecný, Juraj;;diplomová / bakalářská práce;Katedra;;;;;53;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Predspracovanie dát pre data mining - hľadanie relácií v databázach - 1.;Bezecný, Juraj;;diplomová / bakalářská práce;Katedra;670432;;;670432-10;53;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Predicting relaps in Schizophrenia Using Communication Technology and Pattern Recognition Techniques - 2.;Hrdlička, Jan;;diplomová / bakalářská práce;Katedra;;;;;64;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Predicting relaps in Schizophrenia Using Communication Technology and Pattern Recognition Techniques - 1.;Hrdlička, Jan;;diplomová / bakalářská práce;Katedra;669595;;;669595-10;74;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Počítačová podpora zpracování intrakardiálních signálů - 2.;Marek, Roman;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Počítačová podpora zpracování intrakardiálních signálů - 1.;Marek, Roman;;diplomová / bakalářská práce;Katedra;672430;;;672430-10;39;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Použití multi-agentního systému pro nekooperativní vyhýbání letadel - 2.;Komenda, Antonín;;diplomová / bakalářská práce;Katedra;;;;;56;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Použití multi-agentního systému pro nekooperativní vyhýbání letadel - 1.;Komenda, Antonín;;diplomová / bakalářská práce;GL;669585;;;669585-10;56;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Posturální analýza stabilizace motoriky - 2.;Vostatek, Pavel;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Posturální analýza stabilizace motoriky - 1.;Vostatek, Pavel;;diplomová / bakalářská práce;Katedra;672418;;;672418-10;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Porovnání metod pro detekci QT intervalu v elektrokardiografickém signálu - 2.;Lepší, Pavel;;diplomová / bakalářská práce;Katedra;;;;;62;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Porovnání metod pro detekci QT intervalu v elektrokardiografickém signálu - 1.;Lepší, Pavel;;diplomová / bakalářská práce;Katedra;670426;;;670426-10;62;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Porovnání metod odhadování entropie pro registraci obrázků - 1.;Svoboda, Jiří;;diplomová / bakalářská práce;Katedra;670400;;;670400-10;121;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Plánování pohybu založené na vzorkování - 2.;Absatz, Leoš;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Plánování pohybu zalo?ené na vzorkování - 1.;Absatz, Leoš;;diplomová / bakalářská práce;Katedra;672112;;;672112-10;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Pictorial Structural Models, Learning and Recognition in Image Sequences - 2.;Fajt, Lukáš;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD,;;volná;;;;;;;
Pictorial Structural Models, Learning and Recognition in Image Sequences - 1.;Fajt, Lukáš;;diplomová / bakalářská práce;Katedra;669591;;;669591-10;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD,;;Svoboda, Tomáš;;;;;;;
Paralelizace řešení přímého problému EEG rekonstrukce metodou BEM - 1.;Jasanský, Marek;;diplomová / bakalářská práce;Katedra;670425;;;670425-10;44;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Oscilometrický tonometr s USB modulem - 2.;Rabiňák, David;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Oscilometrický tonometr s USB modulem - 1.;Rabiňák, David;;diplomová / bakalářská práce;Katedra;670410;;;670410-10;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Okno do reality - 2.;Lipovský, Štěpán;;diplomová / bakalářská práce;Katedra;;;;;68;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Okno do reality - 1.;Lipovský, Štěpán;;diplomová / bakalářská práce;Katedra;673834;;;673834-10;68;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Odhad kvality práce - 2.;Mistr, Jiří;;diplomová / bakalářská práce;Katedra;;;;;100;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Odhad kvality práce - 1.;Mistr, Jiří;;diplomová / bakalářská práce;Katedra;;;;;100;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Návrh a realizace programového vybavení pro snímání a vyhodnocení otoakustických emisí v kmitočtovém pásmu 1-40 kHz - 2.;Pelnař, Petr;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Návrh a realizace programového vybavení pro snímání a vyhodnocení otoakustických emisí v kmitočtovém pásmu 1-40 kHz - 1.;Pelnař, Petr;;diplomová / bakalářská práce;Katedra;669614;;;669614-10;48;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Multi-agentní podpora plánování a řízení humanitárních operací 2.;Jiránek, Pavel;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Multi-agentní podpora plánování a řízení humanitárních operací 1.;Jiránek, Pavel;;diplomová / bakalářská práce;Katedra;673934;;;673934-10;55;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Modely regulace ve fyziologickém praktiku - 2.;Matúš, Marcel;;diplomová / bakalářská práce;Katedra;;;;;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Modely regulace ve fyziologickém praktiku - 1.;Matúš, Marcel;;diplomová / bakalářská práce;Katedra;670447;;;670447-10;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Metody optimalizace modelů acidobazické rovnováhy krve - 2.;Vacek, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Metody optimalizace modelů acidobazické rovnováhy krve - 1.;Vacek, Ondřej;;diplomová / bakalářská práce;Katedra;669594;;;669594-10;60;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Metody klasifikace EEG signálu - 2.;Řehoř, Miroslav;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Metody klasifikace EEG signálu - 1.;Řehoř, Miroslav;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Iterativní evoluční optimalizace - 2.;Šantrůček, Jaromír;;diplomová / bakalářská práce;Katedra;;;;;57;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Iterativní evoluční optimalizace - 1.;Šantrůček, Jaromír;;diplomová / bakalářská práce;Katedra;;;;;57;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Investigation into the Human Ability to Deal with Time Delays when Employing Neural Control oven Networks - 2.;Ježek, Filip;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Investigation into the Human Ability to Deal with Time Delays when Employing Neural Control oven Networks - 1.;Ježek, Filip;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Inteligentní nástroje pro ovládání počítače - 2.;Smetana, Petr;;diplomová / bakalářská práce;Katedra;;;;;57;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Inteligentní nástroje pro ovládání počítače - 1.;Smetana, Petr;;diplomová / bakalářská práce;Katedra;669592;;;669592-10;57;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implemetace rozhraní digitálních fotoaparátů Canon do programového prostředí Matlab II.;Heřman, Michal;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace hry vhodné pro ovládání očima - 2.;Abrahamčík, Jan;;diplomová / bakalářská práce;Katedra;;;;;30;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace hry vhodné pro ovládání očima - 1.;Abrahamčík, Jan;;diplomová / bakalářská práce;Katedra;672299;;;672299-10;30;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace hry HEX -2.;Jirák, Aleš;;diplomová / bakalářská práce;Katedra;;;;;64;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace hry HEX -1.;Jirák, Aleš;;diplomová / bakalářská práce;Katedra;672139;;;672139-10;64;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace SURF detektoru - 2.;Knopp, Jan;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Implementace SURF detektoru - 1.;Knopp, Jan;;diplomová / bakalářská práce;Katedra;670454;;;670454-10;44;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Generátor EKG křivky pro potřeby simulačních modelů II.;Kolátek, J.;;diplomová / bakalářská práce;Katedra;;;;;53;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Generátor EKG křivky pro potřeby simulačních modelů I.;Kolátek, J.;;diplomová / bakalářská práce;Katedra;669256;;;669256-10;53;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Face Detection with Waldboost Algorithm - 2.;Kálal, Zdeněk;;diplomová / bakalářská práce;Katedra;;;;;56;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Face Detection with Waldboost Algorithm - 1.;Kálal, Zdeněk;;diplomová / bakalářská práce;Katedra;669600;;;669600-10;56;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Evolutionary Design of Logic Circuits - 2.;Horváth, Matej;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Evolutionary Design of Logic Circuits - 1.;Horváth, Matej;;diplomová / bakalářská práce;Katedra;672488;;;672488-10;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dáma - implementace učícího se programu - 2.;Kábrt, Lukáš;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dáma - implementace učícího se programu - 1.;Kábrt, Lukáš;;diplomová / bakalářská práce;Katedra;670629;;;670629-10;42;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dáma - implementace herního prostředí a inteligentního hráče - 2.;Tynek, Lukáš;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dáma - implementace herního prostředí a inteligentního hráče - 1.;Tynek, Lukáš;;diplomová / bakalářská práce;Katedra;672329;;;672329-10;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dolování reálných dat - 2.;Kuchař, Vlastimil;;diplomová / bakalářská práce;Katedra;;;;;71;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Dolování reálných dat - 1.;Kuchař, Vlastimil;;diplomová / bakalářská práce;Katedra;673899;;;673899-10;71;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Detekce intervalů repetičnosti v seismokardiografickém signálu - 2.;Krátký, Jan;;diplomová / bakalářská práce;Katedra;;;;;83;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Detekce intervalů repetičnosti v seismokardiografickém signálu - 1.;Krátký, Jan;;diplomová / bakalářská práce;Katedra;669588;;;669588-10;83;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Detection of Pulmonary Nodules from CT Scans - 2.;Dolejší, Martin;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Detection of Pulmonary Nodules from CT Scans - 1.;Dolejší, Martin;;diplomová / bakalářská práce;Katedra;669608;;;669608-10;63;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Detection of Atrial Fibrillation using QRTS methody - 2.;Demjanič, Ján;;diplomová / bakalářská práce;Katedra;;;;;51;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Detection of Atrial Fibrillation using QRTS methody - 1.;Demjanič, Ján;;diplomová / bakalářská práce;Katedra;;;;;51;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Detection and Tracking Objects Using Sequential Monte Carlo Method - 2.;Lhotský, Petr;;diplomová / bakalářská práce;Katedra;;;;;66;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;Svoboda, Tomáš;;;;;;;
Detection and Tracking Objects Using Sequential Monte Carlo Method - 1.;Lhotský, Petr;;diplomová / bakalářská práce;Katedra;669584;;;669584-10;66;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Decoding Two-Dimensional Movement Trajectories Using Electrocortcographic Signals in Humans - 2;Kubánek, Jan;;diplomová / bakalářská práce;Katedra;;;;;92;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Decoding Two-Dimensional Movement Trajectories Using Electrocortcographic Signals in Humans - 1;Kubánek, Jan;;diplomová / bakalářská práce;Katedra;670382;;;670382-10;92;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Chytrý domov - 2.;Šťastný, Pavel;;diplomová / bakalářská práce;Katedra;;;;;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Chytrý domov - 1.;Šťastný, Pavel;;diplomová / bakalářská práce;Katedra;;;;;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Bezdrátový přenos dat mezi PC a mobilními za?ízeními - 1.;Nanky, Peter;;diplomová / bakalářská práce;Katedra;672313;;;672313-10;41;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Automatická analýza EKG signálu - 2.;Kužílek, Jakub;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Automatická analýza EKG signálu - 1.;Kužílek, Jakub;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Automatic Segmentation of Articulated Objects of Unknown Complexity from Videos - 2.;Košata, Jan;;diplomová / bakalářská práce;Katedra;;;;;36;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Automatic Segmentation of Articulated Objects of Unknown Complexity from Videos - 1.;Košata, Jan;;diplomová / bakalářská práce;Katedra;669590;;;669590-10;36;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;Svoboda, Tomáš;;;;;;;
Articulated 3D Human Model and Its Animation for Testing and Learning Algorithms of Multi-Camera Systems - 1.;Mazaný, Ondřej;;diplomová / bakalářská práce;Katedra;669581;;;669581-10;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;Svoboda, Tomáš;;;;;;;
Articulated 3D Human Model and Its Animation for Testing and Learning Algorithms of Multi-Camera Systems - 1.;Mazaný, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;69;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Antispam jako úloha rozpoznávání - 2.;Mačák, Jan;;diplomová / bakalářská práce;Katedra;;;;;43;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Antispam jako úloha rozpoznávání - 1.;Mačák, Jan;;diplomová / bakalářská práce;Katedra;672325;;;672325-10;43;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Analýza pacientů trpící depresí pomocí statistických metod - 1.;Lukešová, Zdeňka;;diplomová / bakalářská práce;Katedra;;;;;24;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Analýza biologických signálů v systému LabVIEW - 2.;Krajčovičová, Eva;;diplomová / bakalářská práce;Katedra;;;;;67;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Analýza biologických signálů v systému LabVIEW - 1.;Krajčovičová, Eva;;diplomová / bakalářská práce;Katedra;669612;;;669612-10;67;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Analýza biollogických signálů v systému LabVIEW - 2.;Martinková, Monika;;diplomová / bakalářská práce;Katedra;;;;;72;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Analýza biollogických signálů v systému LabVIEW - 1.;Martinková, Monika;;diplomová / bakalářská práce;Katedra;669613;;;669613-10;72;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Agent pro extrakci informací z genomických databazí na webu - 2.;Holec, Matěj;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Agent pro extrakci informací z genomických databazí na webu - 1.;Holec, Matěj;;diplomová / bakalářská práce;Katedra;670416;;;670416-10;46;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Advanced Diagnostics of Automative Systems - 1.;Šmíd, Marek;;diplomová / bakalářská práce;Katedra;;;;;33;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Adaptivita v e-learningu - implementace adaptivního systému 2.;Kovalčík, V.;;diplomová / bakalářská práce;Katedra;;;;;70;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Adaptivita v e-learningu - implementace adaptivního systému 1.;Kovalčík, V.;;diplomová / bakalářská práce;Katedra;670391;;;670391-10;70;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
A Statistical Study of a Cobinatorial Problem - 2.;Kuželka, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
A Statistical Study of a Cobinatorial Problem - 1.;Kuželka, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
3D rekonstrukce prostředí ze sonarových dat II.;Hrbek, Stanislav;;diplomová / bakalářská práce;Katedra;;;;;37;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
3D rekonstrukce prostředí ze sonarových dat I.;Hrbek, Stanislav;;diplomová / bakalářská práce;Katedra;;;;;37;1. vydání;2007;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Řídicí jednotka pohonů mobilního robotu - II.;Fišer, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Řídicí jednotka pohonů mobilního robotu - I.;Fišer, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Základy anticipace a její mo?né aplikace - I.;Kotál, P.;;diplomová / bakalářská práce;Katedra;675374;;;675374-10;43;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;pouze 1 exemplář;;volná;;;;;;;
Zpracování signálu z fetálního EKG - II.;Kasl, M.;;diplomová / bakalářská práce;Katedra;;;;;32;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Zpracování signálu z fetálního EKG - I.;Kasl, M.;;diplomová / bakalářská práce;Katedra;;;;;32;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Zpracování obrazu jednočipovým mikroprocesorem - I.;Janouch, M.;;diplomová / bakalářská práce;Katedra;;;;;72;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;pouze 1 exemplář;;volná;;;;;;;
Webové aplikace v prostředí Javy - II.;Hodač, J.;;diplomová / bakalářská práce;Katedra;;;;;65;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Webové aplikace v prostředí Javy - I.;Hodač, J.;;diplomová / bakalářská práce;Katedra;675306;;;675306-10;65;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Využití simulačního modelu globálních fyziologických funkcí člověka jako podklad pro e-learningovou výuku medicíny akutních stavů - II.;Rusz, J.;;diplomová / bakalářská práce;Katedra;;;;;90;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Využití metod strojového učení pro zpracování EEG signálu - II.;Plevková, L.;;diplomová / bakalářská práce;Katedra;;;;;59;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vyu?ití simulačního modelu globálních fyziologických funkcí člověka jako podklad pro e-learningovou výuku medicíny akutních stavů - I.;Rusz, J.;;diplomová / bakalářská práce;Katedra;675294;;;675294-10;90;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vyu?ití metod strojového učení pro zpracování EEG signálu - I.;Plevková, L.;;diplomová / bakalářská práce;Katedra;675427;;;675427-10;59;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vytvoření a zpracování databáze operátorů technologických zařízení - II.;Kratinová, M.;;diplomová / bakalářská práce;Katedra;;;;;73;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vytvoření a zpracování databáze operátorů technologických zařízení - 1.;Kratinová, M.;;diplomová / bakalářská práce;Katedra;675274;;;675274-10;73;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vliv přetížení na fyziologickou odpověď pilotů II.;Valentová, Helena;;diplomová / bakalářská práce;Katedra;;;;;33;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vliv přetížení na fyziologickou odpověď pilotů I.;Valentová, Helena;;diplomová / bakalářská práce;Katedra;;;;;33;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Visualization Framework for Multi-Lead ECG - II.;Bárnet, Z.;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Visualization Framework for Multi-Lead ECG - I.;Bárnet, Z.;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2008;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
