Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;Extra1;Extra2;Extra3;Extra4;Extra5;StsCheck;StsUK;
Int. Journal of Computer Vision Vol.67;;;Journal;CMP;661172;270387;CMP-J0063;661172-1060;;;2006;Springer-Verlag;DE;0920-5691;1,2,3;67;;11793,60 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.68;;;Journal;CMP;661172;270388;CMP-J0064;661172-1070;;1. vydání;2006;Springer-Verlag;DE;0920-5691;1,2,3;68;;11793,60 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.69;;;Journal;CMP;661172;270389;CMP-J0065;661172-1080;;;2006;Springer-Verlag;DE;0920-5691;1,2,3;69;;11793,60 Kč;;;;VOLNÁ;;;;;;;;;;
Int. Journal of Computer Vision Vol.70;;;Journal;CMP;661172;270390;CMP-J0066;661172-1090;;;2006;Springer-Verlag;DE;0920-5691;1,2,3;70;;11793,60 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.24;;;Journal;CMP;661011;270217;CMP-J0067;661011-410;;;2006;Springer-Verlag;Holandsko;0924-9907;1,2,3;24;;8518,30 Kč;;;;VOLNÁ;;;;;;;;;;
Journal of Mathematical Imaging and Vision Vol.25;;;Journal;CMP;661011;270218;CMP-J0068;661011-420;;1. vydání;2006;Springer-Verlag;DE;0924-9907;1,2,3;25;;8518,30 Kč;;;;VOLNÁ;;;;;;;;;;
Scientific American Vol.294;;;Journal;CMP;;;CMP-J0069;;;;2006;Scientific American;USA;0036-8733;1,2,4,5,6;294;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.100;;;Journal;CMP;661040;260248;CMP-J0070;661040-710;;1. vydání;2005;Elsevier Science Publishing Co.;NL;1077-3142;1-2,3;100;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.97;;;Journal;CMP;661040;260245;CMP-J0071;661040-680;;;2005;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3;97;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.98;;;Journal;CMP;661040;260246;CMP-J0072;661040-690;;1. vydání;2005;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2;98;;;;;;VOLNÁ;;;;;;;;;;
